OrderID,CustomerID,ProductID,OrderDate,Quantity,Price,TotalAmount
1,944,429,2024-02-29,4,3439.67,13758.68
131,536,429,2023-08-08,3,3439.67,10319.01
289,452,429,2023-09-30,3,3439.67,10319.01
312,945,429,2023-08-23,2,3439.67,6879.34
1049,806,429,2023-11-19,1,3439.67,3439.67
1680,416,429,2024-08-02,2,3439.67,6879.34
1954,602,429,2023-11-21,4,3439.67,13758.68
2786,921,429,2024-09-10,4,3439.67,13758.68
2,603,150,2023-03-13,4,476.02,1904.08
202,213,150,2023-11-26,3,476.02,1428.06
922,834,150,2024-04-19,3,476.02,1428.06
1710,851,150,2024-07-30,3,476.02,1428.06
2057,237,150,2023-04-22,1,476.02,476.02
2558,462,150,2024-04-25,2,476.02,952.04
3,790,416,2024-03-21,4,7283.71,29134.84
637,363,416,2024-04-01,1,7283.71,7283.71
1559,287,416,2023-01-10,3,7283.71,21851.13
2016,915,416,2023-05-19,1,7283.71,7283.71
2116,202,416,2024-09-07,4,7283.71,29134.84
2244,591,416,2024-10-11,3,7283.71,21851.13
2641,963,416,2023-06-23,4,7283.71,29134.84
4,613,453,2023-07-05,1,4865.2,4865.2
91,645,453,2024-05-16,3,4865.2,14595.599999999999
1811,852,453,2023-07-05,3,4865.2,14595.599999999999
2334,550,453,2023-09-15,4,4865.2,19460.8
2964,364,453,2024-02-15,3,4865.2,14595.599999999999
5,155,215,2023-03-11,2,8110.91,16221.82
515,7,215,2023-08-09,4,8110.91,32443.64
1034,336,215,2023-05-26,1,8110.91,8110.91
1659,481,215,2024-11-28,1,8110.91,8110.91
1717,998,215,2024-03-06,4,8110.91,32443.64
2522,674,215,2024-03-02,3,8110.91,24332.73
2624,641,215,2024-09-23,1,8110.91,8110.91
2932,524,215,2024-12-11,4,8110.91,32443.64
6,889,197,2023-05-30,4,6480.26,25921.04
133,835,197,2024-06-06,1,6480.26,6480.26
434,731,197,2024-10-09,3,6480.26,19440.78
708,52,197,2023-01-20,1,6480.26,6480.26
1330,465,197,2024-09-20,4,6480.26,25921.04
1615,608,197,2023-12-31,2,6480.26,12960.52
1958,849,197,2023-03-05,4,6480.26,25921.04
7,349,42,2023-09-03,3,2238.91,6716.73
330,555,42,2023-09-28,4,2238.91,8955.64
501,560,42,2023-05-27,4,2238.91,8955.64
840,17,42,2023-08-22,4,2238.91,8955.64
1085,161,42,2024-10-02,3,2238.91,6716.73
1481,38,42,2023-03-25,1,2238.91,2238.91
1627,567,42,2023-01-11,4,2238.91,8955.64
1807,162,42,2024-11-26,2,2238.91,4477.82
1929,897,42,2024-01-30,3,2238.91,6716.73
1930,439,42,2023-03-15,1,2238.91,2238.91
2525,332,42,2023-06-03,1,2238.91,2238.91
2527,454,42,2024-02-19,2,2238.91,4477.82
8,451,53,2024-06-21,3,2340.16,7020.48
1264,929,53,2023-09-23,2,2340.16,4680.32
2331,841,53,2023-03-13,2,2340.16,4680.32
2338,335,53,2024-05-04,1,2340.16,2340.16
2551,400,53,2023-10-19,4,2340.16,9360.64
2884,551,53,2024-11-10,2,2340.16,4680.32
9,876,480,2024-10-13,2,9673.82,19347.64
113,475,480,2023-10-29,4,9673.82,38695.28
1124,768,480,2024-01-06,1,9673.82,9673.82
1258,430,480,2024-06-29,2,9673.82,19347.64
1806,687,480,2023-11-05,1,9673.82,9673.82
2141,534,480,2024-07-15,2,9673.82,19347.64
2935,155,480,2024-02-27,1,9673.82,9673.82
10,653,443,2023-04-09,1,9495.8,9495.8
1269,780,443,2023-05-13,2,9495.8,18991.6
1412,471,443,2023-09-27,4,9495.8,37983.2
2034,800,443,2024-07-26,3,9495.8,28487.399999999998
2152,316,443,2023-03-31,4,9495.8,37983.2
11,173,330,2023-10-05,2,5565.49,11130.98
392,452,330,2024-02-03,3,5565.49,16696.47
1335,264,330,2023-06-03,3,5565.49,16696.47
1389,568,330,2023-06-05,1,5565.49,5565.49
1545,768,330,2023-06-25,2,5565.49,11130.98
2540,929,330,2024-06-25,1,5565.49,5565.49
2863,946,330,2024-10-08,4,5565.49,22261.96
12,10,251,2024-07-16,4,433.32,1733.28
723,807,251,2024-05-17,1,433.32,433.32
801,382,251,2024-12-03,2,433.32,866.64
1489,912,251,2023-10-30,3,433.32,1299.96
1697,712,251,2024-02-07,4,433.32,1733.28
1948,208,251,2023-07-24,4,433.32,1733.28
2568,317,251,2024-03-27,4,433.32,1733.28
13,740,295,2024-10-24,1,9081.28,9081.28
766,450,295,2023-11-30,1,9081.28,9081.28
14,265,378,2024-03-30,1,856.21,856.21
957,561,378,2023-10-02,4,856.21,3424.84
1275,643,378,2024-09-10,4,856.21,3424.84
1392,39,378,2024-12-05,2,856.21,1712.42
1812,140,378,2023-09-10,4,856.21,3424.84
1856,471,378,2023-09-28,3,856.21,2568.63
15,438,271,2023-04-14,4,4074.31,16297.24
621,857,271,2023-01-22,3,4074.31,12222.93
1032,395,271,2024-07-17,2,4074.31,8148.62
1109,504,271,2024-11-28,1,4074.31,4074.31
1281,973,271,2023-05-03,4,4074.31,16297.24
1540,206,271,2023-02-24,1,4074.31,4074.31
1988,815,271,2024-03-24,2,4074.31,8148.62
2110,783,271,2023-07-14,3,4074.31,12222.93
2432,195,271,2023-12-11,3,4074.31,12222.93
2483,858,271,2023-07-20,1,4074.31,4074.31
2603,936,271,2024-12-21,2,4074.31,8148.62
16,760,455,2024-08-23,3,6776.05,20328.15
573,575,455,2023-03-20,4,6776.05,27104.2
653,512,455,2023-10-11,1,6776.05,6776.05
822,141,455,2023-07-19,4,6776.05,27104.2
1442,825,455,2023-04-20,1,6776.05,6776.05
1949,8,455,2024-12-26,1,6776.05,6776.05
2625,724,455,2023-06-28,4,6776.05,27104.2
2640,558,455,2023-11-13,1,6776.05,6776.05
17,247,413,2024-10-14,4,5656.81,22627.24
837,640,413,2023-11-07,2,5656.81,11313.62
965,719,413,2024-07-11,1,5656.81,5656.81
971,250,413,2024-08-11,1,5656.81,5656.81
1079,838,413,2023-05-29,4,5656.81,22627.24
2943,161,413,2024-02-14,3,5656.81,16970.43
18,667,123,2024-12-25,2,5123.72,10247.44
577,299,123,2023-11-04,1,5123.72,5123.72
1251,972,123,2023-10-04,2,5123.72,10247.44
1586,58,123,2023-10-06,1,5123.72,5123.72
2294,461,123,2024-01-18,2,5123.72,10247.44
2376,607,123,2023-07-03,4,5123.72,20494.88
2433,12,123,2023-06-09,4,5123.72,20494.88
2726,742,123,2023-12-19,4,5123.72,20494.88
19,546,367,2023-08-21,4,7276.08,29104.32
138,181,367,2024-06-22,3,7276.08,21828.239999999998
468,834,367,2024-10-29,2,7276.08,14552.16
1727,218,367,2023-01-31,1,7276.08,7276.08
1740,700,367,2023-03-08,3,7276.08,21828.239999999998
2190,25,367,2023-10-12,4,7276.08,29104.32
2919,598,367,2024-10-20,1,7276.08,7276.08
2952,172,367,2024-01-16,4,7276.08,29104.32
20,499,387,2024-01-29,3,6454.41,19363.23
531,166,387,2023-05-07,2,6454.41,12908.82
563,493,387,2023-08-23,1,6454.41,6454.41
627,694,387,2023-04-13,3,6454.41,19363.23
1231,75,387,2024-02-24,4,6454.41,25817.64
1274,166,387,2024-09-12,1,6454.41,6454.41
1282,834,387,2023-11-16,1,6454.41,6454.41
1892,752,387,2023-12-31,1,6454.41,6454.41
2416,181,387,2023-11-21,3,6454.41,19363.23
2779,791,387,2024-11-07,3,6454.41,19363.23
21,129,339,2024-05-15,4,455.79,1823.16
1239,857,339,2024-03-21,4,455.79,1823.16
1506,858,339,2023-03-04,1,455.79,455.79
22,672,266,2024-11-25,2,2970.7,5941.4
67,278,266,2024-05-17,3,2970.7,8912.099999999999
1161,415,266,2024-03-28,3,2970.7,8912.099999999999
1301,926,266,2024-01-22,4,2970.7,11882.8
1400,101,266,2024-01-31,1,2970.7,2970.7
1805,282,266,2024-09-26,4,2970.7,11882.8
1858,91,266,2024-07-03,4,2970.7,11882.8
23,601,348,2023-09-08,2,5833.84,11667.68
178,965,348,2023-07-31,3,5833.84,17501.52
1169,695,348,2023-07-11,3,5833.84,17501.52
2186,606,348,2024-05-27,3,5833.84,17501.52
24,605,29,2024-06-04,3,6414.98,19244.94
2356,300,29,2023-06-22,1,6414.98,6414.98
2515,906,29,2023-07-26,2,6414.98,12829.96
2732,232,29,2024-11-09,4,6414.98,25659.92
2757,720,29,2024-09-08,3,6414.98,19244.94
2823,519,29,2024-04-27,2,6414.98,12829.96
25,327,463,2023-03-20,2,5032.54,10065.08
235,833,463,2023-03-14,3,5032.54,15097.619999999999
946,843,463,2023-08-16,1,5032.54,5032.54
1778,802,463,2024-04-24,3,5032.54,15097.619999999999
2066,159,463,2023-04-27,1,5032.54,5032.54
2086,197,463,2024-03-24,4,5032.54,20130.16
2969,580,463,2024-01-29,4,5032.54,20130.16
26,753,35,2023-02-21,2,6979.34,13958.68
155,357,35,2024-03-29,2,6979.34,13958.68
307,925,35,2023-11-16,2,6979.34,13958.68
479,481,35,2023-10-17,3,6979.34,20938.02
561,946,35,2024-11-18,1,6979.34,6979.34
967,409,35,2023-04-01,2,6979.34,13958.68
1297,8,35,2023-10-20,2,6979.34,13958.68
2041,933,35,2024-06-26,2,6979.34,13958.68
2219,755,35,2023-03-02,3,6979.34,20938.02
2590,43,35,2024-12-01,4,6979.34,27917.36
2653,8,35,2023-09-26,1,6979.34,6979.34
27,835,6,2023-08-14,4,501.53,2006.12
125,959,6,2024-11-03,4,501.53,2006.12
